library name,text,rodata,data,bss,code,flash,ram
lib\libhal.a,15390,5190,16,521,20580,20596,537
lib\libkernel.a,20592,983,14,74170,21575,21589,74184
lib\libdriver.a,82288,16317,1543,6526,98605,100148,8069
lib\libosi_lib.a,8126,189,0,74201,8315,8315,74201
..\..\components\newlib\armca5\libc.a,46410,3041,1534,47,49451,50985,1581
..\..\components\ql-kernel\libs\liboql_api_audio.a,9768,3483,0,156,13251,13251,156
..\..\components\ql-kernel\libs\liboql_api_power.a,2456,1693,38,35,4149,4187,73
..\..\components\ql-kernel\libs\liboql_gnss.a,1040,823,0,388,1863,1863,388
..\..\components\ql-kernel\libs\libq_modem.a,504,230,0,0,734,734,0
..\..\components\ql-kernel\libs\libql_api_adc.a,472,56,2,0,528,530,2
..\..\components\ql-kernel\libs\libql_api_ble.a,6402,2293,0,16,8695,8695,16
..\..\components\ql-kernel\libs\libql_api_ble_gatt.a,14522,8907,180,75,23429,23609,255
..\..\components\ql-kernel\libs\libql_api_bt.a,2422,1357,0,0,3779,3779,0
..\..\components\ql-kernel\libs\libql_api_bt_ble.a,2484,1396,0,152,3880,3880,152
..\..\components\ql-kernel\libs\libql_api_bt_hfp.a,3140,1771,60,26,4911,4971,86
..\..\components\ql-kernel\libs\libql_api_camera.a,1400,1037,0,52,2437,2437,52
..\..\components\ql-kernel\libs\libql_api_common.a,188,45,1,0,233,234,1
..\..\components\ql-kernel\libs\libql_api_datacall.a,7900,4111,0,152,12011,12011,152
..\..\components\ql-kernel\libs\libql_api_dev.a,1938,837,1,1,2775,2776,2
..\..\components\ql-kernel\libs\libql_api_fota.a,1664,1299,2,0,2963,2965,2
..\..\components\ql-kernel\libs\libql_api_fs.a,7942,3093,156,20,11035,11191,176
..\..\components\ql-kernel\libs\libql_api_ftp.a,6672,1135,8,0,7807,7815,8
..\..\components\ql-kernel\libs\libql_api_gpio.a,2948,839,0,256,3787,3787,256
..\..\components\ql-kernel\libs\libql_api_http.a,2184,410,0,4,2594,2594,4
..\..\components\ql-kernel\libs\libql_api_i2c.a,644,431,24,0,1075,1099,24
..\..\components\ql-kernel\libs\libql_api_keypad.a,370,299,31,0,669,700,31
..\..\components\ql-kernel\libs\libql_api_lcd.a,1714,472,5,9,2186,2191,14
..\..\components\ql-kernel\libs\libql_api_mqtt.a,2950,397,0,24,3347,3347,24
..\..\components\ql-kernel\libs\libql_api_nw.a,9354,3990,100,68,13344,13444,168
..\..\components\ql-kernel\libs\libql_api_osi.a,6184,3494,16,56,9678,9694,72
..\..\components\ql-kernel\libs\libql_api_pwm.a,940,792,80,5,1732,1812,85
..\..\components\ql-kernel\libs\libql_api_rtc.a,1602,1353,76,28,2955,3031,104
..\..\components\ql-kernel\libs\libql_api_sdmmc.a,1258,212,0,4,1470,1470,4
..\..\components\ql-kernel\libs\libql_api_sim.a,4136,1395,8,12,5531,5539,20
..\..\components\ql-kernel\libs\libql_api_sms.a,5330,949,0,4,6279,6279,4
..\..\components\ql-kernel\libs\libql_api_spi.a,2102,731,0,72,2833,2833,72
..\..\components\ql-kernel\libs\libql_api_spi6_ext_nor_flash.a,84,32,0,0,116,116,0
..\..\components\ql-kernel\libs\libql_api_spi_flash.a,220,103,0,0,323,323,0
..\..\components\ql-kernel\libs\libql_api_spi_nand_flash.a,1656,710,0,1,2366,2366,1
..\..\components\ql-kernel\libs\libql_api_spi_nor_flash.a,2072,671,8,8,2743,2751,16
..\..\components\ql-kernel\libs\libql_api_uart.a,4202,1773,36,144,5975,6011,180
..\..\components\ql-kernel\libs\libql_api_usb.a,3450,1380,0,16,4830,4830,16
..\..\components\ql-kernel\libs\libql_api_virt_at.a,1200,822,0,4,2022,2022,4
..\..\components\ql-kernel\libs\libql_api_voice_call.a,4518,1474,80,4,5992,6072,84
..\..\components\ql-kernel\libs\libql_api_wifiscan.a,1380,842,16,14,2222,2238,30
..\..\components\ql-kernel\libs\libql_apptcpip.a,798,0,0,576,798,798,576
..\..\components\ql-kernel\libs\libql_at.a,46896,12852,675,1617,59748,60423,2292
..\..\components\ql-kernel\libs\libql_bsp.a,5200,1462,32,531,6662,6694,563
..\..\components\ql-kernel\libs\libql_curl.a,99128,26331,32,217,125459,125491,249
..\..\components\ql-kernel\libs\libql_ext_codec.a,70,0,0,0,70,70,0
..\..\components\ql-kernel\libs\libql_fatfs_ex.a,2496,873,0,324,3369,3369,324
..\..\components\ql-kernel\libs\libql_file.a,5264,1477,16,0,6741,6757,16
..\..\components\ql-kernel\libs\libql_ftp.a,11268,2728,0,0,13996,13996,0
..\..\components\ql-kernel\libs\libql_gnss_aux.a,11024,8758,10,499,19782,19792,509
..\..\components\ql-kernel\libs\libql_http.a,14212,3319,90,13,17531,17621,103
..\..\components\ql-kernel\libs\libql_lbs.a,5744,950,0,12,6694,6694,12
..\..\components\ql-kernel\libs\libql_mqtt.a,13302,2312,0,16,15614,15614,16
..\..\components\ql-kernel\libs\libql_net.a,9714,1946,0,62,11660,11660,62
..\..\components\ql-kernel\libs\libql_ntp.a,2618,617,0,12,3235,3235,12
..\..\components\ql-kernel\libs\libql_ping.a,2372,647,0,12,3019,3019,12
..\..\components\ql-kernel\libs\libql_power.a,2458,1392,100,49,3850,3950,149
..\..\components\ql-kernel\libs\libql_tlv.a,390,0,0,0,390,390,0
..\..\components\ql-kernel\libs\libql_urc.a,1696,0,0,2,1696,1696,2
..\..\components\ql-kernel\libs\libql_utils.a,1312,267,108,0,1579,1687,108
..\..\components\ql-kernel\libs\libquectel.a,340,233,4,0,573,577,4
..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,2860,0,0,0,2860,2860,0
lib\libapploader.a,764,6673,4,16,7437,7441,20
libappstart.a,1396,436,0,4,1832,1832,4
lib\libatr.a,12380,27038,0,18848,39418,39418,18848
lib\libatr_core1.a,5034,187,0,12,5221,5221,12
lib\libatr_core2.a,5194,2234,0,12,7428,7428,12
lib\libats.a,135750,60796,120,9039,196546,196666,9159
lib\libaudio.a,9538,2072,0,1216,11610,11610,1216
lib\libaudio_core.a,135700,94549,0,0,230249,230249,0
lib\libaworker.a,208,202,0,16,410,410,16
lib\libbdev.a,706,0,0,0,706,706,0
lib\libbdev_core.a,2878,20,0,0,2898,2898,0
lib\libblueu_core.a,189676,39678,2117,3975,229354,231471,6092
lib\libboot_ex_spi6nor.a,978,277,113,29,1255,1368,142
lib\libbt_app.a,242032,2875,100,9619,244907,245007,9719
lib\libbt_nv.a,64,0,0,0,64,64,0
lib\libcalclib.a,2708,1615,0,0,4323,4323,0
lib\libcfw.a,1474,8882,0,4,10356,10356,4
lib\libcfw_core.a,26656,359,4,37218,27015,27019,37222
lib\libdiag.a,8668,3166,0,1708,11834,11834,1708
lib\libdriver_core.a,7126,74,8,4552,7200,7208,4560
lib\libfatfs.a,4082,1003,116,16,5085,5201,132
lib\libfatfs_core.a,11440,410,0,18,11850,11850,18
lib\libfs.a,4824,379,192,136,5203,5395,328
lib\libfs_partinfo.a,368,0,0,0,368,368,0
lib\libfsmount.a,1300,38,1,8,1338,1339,9
lib\libfupdate_core.a,1832,48,12,0,1880,1892,12
lib\libhal_prop.a,32,0,384,0,32,416,384
lib\liblwip.a,116756,20978,28,56294,137734,137762,56322
lib\libmal.a,852,57,0,4,909,909,4
lib\libmbedtls.a,158702,63647,95,9396,222349,222444,9491
lib\libml.a,1556,16220,144,4,17776,17920,148
lib\libnanopb.a,5168,548,0,0,5716,5716,0
lib\libnet.a,15430,3058,90,12236,18488,18578,12326
lib\libnvm.a,1500,1301,0,0,2801,2801,0
lib\liboql_core_drv.a,192,1137,420,0,1329,1749,420
lib\liboql_core_virt_func.a,330,0,0,0,330,330,0
lib\libosi_core.a,6492,7,0,125,6499,6499,125
lib\libql_open_at.a,284,226,0,0,510,510,0
lib\librpc_core.a,2776,20244,0,4,23020,23020,4
lib\libservice.a,31186,3946,4,8848,35132,35136,8852
lib\libsffs_core.a,10738,36,0,0,10774,10774,0
lib\libboot_ex_ql_pin.a,0,0,104,1,0,104,105
